ticker,period,interval,zigzag
AAPL,2y,1d,5
GOOGL,2y,1d,5
PYPL,2y,1d,5
UNH,2y,1d,5
PALO-ALTO-NETWORKS,2y,1d,5
CWR.L,2y,1d,5
DRO.AX,2y,1d,5
MSFT,2y,1d,5
AMZN,2y,1d,5
META,2y,1d,5
NFLX,2y,1d,5
NVDA,2y,1d,5
TSLA,2y,1d,5
INTC,2y,1d,5
AMD,2y,1d,5
BABA,2y,1d,5
DIS,2y,1d,5
V,2y,1d,5
MA,2y,1d,5
CRM,2y,1d,5
ORCL,2y,1d,5
IBM,2y,1d,5
CSCO,2y,1d,5
PEP,2y,1d,5
KO,2y,1d,5
WMT,2y,1d,5
JNJ,2y,1d,5
PG,2y,1d,5
MRK,2y,1d,5
ABT,2y,1d,5
XOM,2y,1d,5
CVX,2y,1d,5
HD,2y,1d,5
LOW,2y,1d,5
TGT,2y,1d,5
COST,2y,1d,5
SBUX,2y,1d,5
NKE,2y,1d,5
ADBE,2y,1d,5
INTU,2y,1d,5
PYPL,2y,1d,5
NFLX,2y,1d,5